Date				 HJD			 Magn in B
30.11.2011 18:33:49	 2455896.27349	 14.809	 			 		
30.11.2011 19:18:51	 2455896.30476	 14.877	 			 		
30.11.2011 20:22:38	 2455896.34906	 14.861	 			 		
30.11.2011 21:47:5	 2455896.4077	 14.941	 			 		
1.12.2011 18:47:14	 2455897.28281	 14.882	 			 		
1.12.2011 19:44:43	 2455897.32273	 14.950	 			 		
1.12.2011 20:29:48	 2455897.35403	 14.969	 			 		
1.12.2011 21:14:32	 2455897.3851	 14.941	 			 		
2.12.2011 18:19:9	 2455898.26331	 14.900	 			 		
2.12.2011 19:21:58	 2455898.30693	 15.013	 			 		
2.12.2011 19:58:38	 2455898.33239	 14.921	 			 		
2.12.2011 23:8:9	 2455898.464	 14.132	 			 		
3.12.2011 18:17:20	 2455899.26204	 14.976	 			 		
3.12.2011 18:48:48	 2455899.2839	 14.813	 			 		
3.12.2011 18:59:9	 2455899.29108	 14.698	 			 		
3.12.2011 19:7:45	 2455899.29705	 14.518	 			 		
3.12.2011 19:17:36	 2455899.30389	 14.262	 			 		
3.12.2011 19:34:6	 2455899.31535	 13.743	 			 		
3.12.2011 19:50:13	 2455899.32655	 13.498	 			 		
3.12.2011 20:3:19	 2455899.33564	 13.523	 			 		
3.12.2011 20:15:24	 2455899.34403	 13.563	 			 		
3.12.2011 20:42:46	 2455899.36304	 13.819	 			 		
3.12.2011 21:16:27	 2455899.38643	 13.978	 			 		
3.12.2011 23:40:30	 2455899.48646	 14.585	 			 		
4.12.2011 18:24:26	 2455900.26697	 13.473	 			 		
4.12.2011 18:34:29	 2455900.27395	 13.494	 			 		
4.12.2011 19:2:50	 2455900.29364	 13.673	 			 		
4.12.2011 19:12:28	 2455900.30033	 13.737	 			 		
4.12.2011 19:21:47	 2455900.3068	 13.805	 			 		
4.12.2011 20:15:16	 2455900.34394	 14.102	 			 		
4.12.2011 20:47:23	 2455900.36625	 14.258	 			 		
4.12.2011 22:9:26	 2455900.42322	 14.605	 			 		
5.12.2011 18:19:59	 2455901.26388	 13.924	 			 		
5.12.2011 18:39:22	 2455901.27734	 14.005	 			 		
5.12.2011 19:4:50	 2455901.29503	 14.154	 			 		
5.12.2011 19:51:3	 2455901.32712	 14.327	 			 		
5.12.2011 20:5:13	 2455901.33696	 14.414	 			 		
5.12.2011 20:16:41	 2455901.34492	 14.483	 			 		
5.12.2011 20:33:26	 2455901.35656	 14.529	 			 		
5.12.2011 20:54:34	 2455901.37123	 14.609	 			 		
5.12.2011 21:5:21	 2455901.37872	 14.628	 			 		
5.12.2011 21:58:33	 2455901.41566	 14.809	 			 		
6.12.2011 18:28:47	 2455902.26999	 14.397	 			 		
6.12.2011 18:29:18	 2455902.27035	 14.421	 			 		
6.12.2011 18:47:17	 2455902.28284	 14.509	 			 		
6.12.2011 19:35:36	 2455902.31639	 14.624	 			 		
6.12.2011 19:36:51	 2455902.31726	 14.653	 			 		
6.12.2011 20:5:25	 2455902.3371	 14.748	 			 		
6.12.2011 20:36:53	 2455902.35895	 14.853	 			 		
7.12.2011 18:28:54	 2455903.27008	 14.708	 			 		
7.12.2011 19:10:12	 2455903.29875	 14.829	 			 		
7.12.2011 19:42:24	 2455903.32112	 14.930	 			 		
7.12.2011 20:4:15	 2455903.33629	 14.942	 			 		
7.12.2011 20:26:1	 2455903.35141	 14.955	 			 		
7.12.2011 20:51:50	 2455903.36933	 14.979	 			 		
8.12.2011 18:25:13	 2455904.26752	 14.930	 			 		
8.12.2011 19:32:28	 2455904.31422	 14.968	 			 		
8.12.2011 20:12:46	 2455904.34221	 14.979	 			 		
8.12.2011 20:42:18	 2455904.36271	 14.935	 			 		
9.12.2011 18:24:51	 2455905.26726	 15.007	 			 		
9.12.2011 18:49:17	 2455905.28423	 14.982	 			 		
9.12.2011 19:36:14	 2455905.31683	 14.952	 			 		
9.12.2011 20:4:27	 2455905.33643	 15.003	 			 		
9.12.2011 20:19:30	 2455905.34688	 15.053	 			 		
9.12.2011 20:40:37	 2455905.36154	 15.114	 			 		
10.12.2011 18:24:6	 2455906.26674	 14.927	 			 		
10.12.2011 18:47:41	 2455906.28312	 15.058	 			 		
10.12.2011 18:54:8	 2455906.2876	 15.056	 			 		
10.12.2011 19:39:24	 2455906.31903	 15.105	 			 		
10.12.2011 19:50:29	 2455906.32673	 14.954	 			 		
10.12.2011 19:59:15	 2455906.33282	 14.708	 			 		
10.12.2011 20:13:26	 2455906.34267	 14.204	 			 		
10.12.2011 20:19:38	 2455906.34697	 13.959	 			 		
10.12.2011 20:28:47	 2455906.35333	 13.565	 			 		
10.12.2011 20:37:5	 2455906.35909	 13.371	 			 		
10.12.2011 20:48:59	 2455906.36736	 13.299	 			 		
10.12.2011 20:56:11	 2455906.37236	 13.277	 			 		
10.12.2011 21:36:50	 2455906.40058	 13.643	 			 		
